^N225
Date,Time,Open,High,Low,Close
2026-06-01,12:40,66901.0703125,66906.359375,66746.53125,66746.53125
2026-06-01,12:45,66738.0234375,66861.8828125,66731.8828125,66772.7734375
2026-06-01,12:50,66779.453125,66815.84375,66665.453125,66697.40625
2026-06-01,12:55,66685.9296875,66767.796875,66665.9609375,66709.2734375
2026-06-01,13:00,66714.5390625,66878.5625,66702.0625,66878.5625
2026-06-01,13:05,66878.578125,66885.328125,66801.3984375,66869.09375
2026-06-01,13:10,66868.1328125,66889.8203125,66787.2109375,66807.1875
2026-06-01,13:15,66817.9765625,66870.3515625,66778.2734375,66857.1015625
2026-06-01,13:20,66868.0703125,66898.390625,66842.9765625,66891.7265625
2026-06-01,13:25,66886.609375,66886.609375,66755.390625,66802.90625
2026-06-01,13:30,66790.2734375,66817.4296875,66703.8515625,66733.4609375
2026-06-01,13:35,66725.703125,66860.4375,66725.703125,66850.0
2026-06-01,13:40,66850.4375,66891.6484375,66839.5390625,66865.8125
2026-06-01,13:45,66874.5390625,66893.390625,66815.3671875,66844.9296875
2026-06-01,13:50,66839.328125,66968.3203125,66834.0625,66867.1015625
2026-06-01,13:55,66879.296875,66928.078125,66859.046875,66886.578125
2026-06-01,14:00,66886.796875,66924.09375,66843.15625,66921.6875
2026-06-01,14:05,66923.3515625,67000.1484375,66923.3515625,66938.9921875
2026-06-01,14:10,66948.7265625,66948.7265625,66885.3203125,66888.890625
2026-06-01,14:15,66889.6171875,66889.6171875,66784.609375,66784.7109375
2026-06-01,14:20,66780.0625,66875.7890625,66770.2265625,66823.046875
2026-06-01,14:25,66818.9921875,66818.9921875,66635.0390625,66655.1171875
2026-06-01,14:30,66669.953125,66776.859375,66669.953125,66746.53125
2026-06-01,14:35,66744.8671875,66808.2265625,66744.8671875,66787.96875
2026-06-01,14:40,66790.953125,66856.6328125,66778.0703125,66854.9765625
2026-06-01,14:45,66854.3203125,66960.4921875,66822.0625,66922.5234375
2026-06-01,14:50,66927.34375,66942.8125,66876.15625,66917.2109375
2026-06-01,14:55,66921.6484375,66964.546875,66906.109375,66957.6171875
2026-06-01,15:00,66957.2421875,67033.1328125,66957.2421875,67033.1328125
2026-06-01,15:05,67032.2265625,67146.0390625,67020.171875,67122.4765625
2026-06-01,15:10,67124.8203125,67124.8203125,67036.7578125,67068.5078125
2026-06-01,15:15,67060.640625,67065.28125,66998.3984375,67002.03125
2026-06-01,15:20,67005.8984375,67052.5078125,66995.3828125,67015.2421875
2026-06-01,15:25,67010.9296875,67010.9296875,67010.9296875,67010.9296875
2026-06-01,15:30,66934.328125,66934.328125,66934.328125,66934.328125
2026-06-02,09:00,66629.6015625,66679.0703125,66393.9921875,66608.84375
2026-06-02,09:05,66611.8828125,66697.890625,66499.8828125,66531.4609375
2026-06-02,09:10,66545.546875,66699.8203125,66455.140625,66637.9765625
2026-06-02,09:15,66609.1328125,66748.0625,66442.3125,66500.8515625
2026-06-02,09:20,66488.03125,66632.046875,66424.7734375,66440.4609375
2026-06-02,09:25,66464.328125,66563.0078125,66401.109375,66460.328125
2026-06-02,09:30,66460.5390625,66573.1015625,66385.5703125,66392.859375
2026-06-02,09:35,66375.6484375,66469.1328125,66309.03125,66314.9765625
2026-06-02,09:40,66317.1484375,66342.71875,66204.7578125,66271.9375
2026-06-02,09:45,66293.1796875,66293.1796875,66176.2890625,66214.0625
2026-06-02,09:50,66222.890625,66222.890625,66044.1484375,66044.1484375
2026-06-02,09:55,66041.0703125,66105.953125,65970.859375,66017.3671875
2026-06-02,10:00,66036.84375,66142.921875,65976.8515625,66108.5625
2026-06-02,10:05,66100.0390625,66202.640625,66066.6171875,66066.6171875
2026-06-02,10:10,66056.0625,66297.2109375,66056.0625,66272.59375
2026-06-02,10:15,66287.03125,66319.1875,66220.2734375,66296.8203125
2026-06-02,10:20,66289.5234375,66394.03125,66256.78125,66384.6484375
2026-06-02,10:25,66399.828125,66419.8828125,66318.6484375,66350.328125
2026-06-02,10:30,66372.078125,66427.8125,66317.671875,66370.65625
2026-06-02,10:35,66371.296875,66371.296875,66132.6171875,66133.921875
2026-06-02,10:40,66128.7890625,66168.390625,65988.25,66066.6484375
2026-06-02,10:45,66077.046875,66083.0390625,65860.328125,65883.8828125
2026-06-02,10:50,65889.96875,65952.9765625,65823.796875,65877.953125
2026-06-02,10:55,65902.9765625,65930.9375,65763.1484375,65769.4609375
2026-06-02,11:00,65772.8515625,65795.828125,65625.90625,65660.2734375
2026-06-02,11:05,65668.03125,65765.6328125,65666.1484375,65705.1171875
2026-06-02,11:10,65694.1015625,65769.640625,65658.5625,65732.359375
2026-06-02,11:15,65729.1484375,65880.34375,65697.890625,65852.03125
2026-06-02,11:20,65846.171875,65936.1328125,65800.25,65812.9296875
2026-06-02,11:25,65819.8203125,65880.6171875,65806.15625,65838.96875
2026-06-02,11:30,65833.9375,65833.9375,65833.4921875,65833.4921875
2026-06-02,12:30,65647.21875,65724.5234375,65551.1328125,65616.90625
2026-06-02,12:35,65607.75,65862.7265625,65607.75,65862.0390625
2026-06-02,12:40,65869.5078125,65936.1875,65820.4765625,65886.7578125
2026-06-02,12:45,65887.21875,65906.0390625,65757.6015625,65847.296875
2026-06-02,12:50,65855.46875,65915.96875,65842.796875,65906.296875
2026-06-02,12:55,65900.3828125,65928.34375,65845.53125,65894.4296875
2026-06-02,13:00,65898.109375,66002.109375,65846.6015625,66002.109375
2026-06-02,13:05,65998.921875,66036.046875,65946.5078125,65975.046875
