^N225
Date,Open,High,Low,Close
2025-02-12,39049.12109375,39102.6484375,38794.23828125,38963.69921875
2025-02-13,39225.5,39581.46875,39112.171875,39461.46875
2025-02-14,39419.25,39543.9296875,39133.94140625,39149.4296875
2025-02-17,39094.08984375,39238.75,39021.23046875,39174.25
2025-02-18,39187.98828125,39508.55078125,39151.7109375,39270.3984375
2025-02-19,39230.62109375,39298.05078125,38994.69921875,39164.609375
2025-02-20,38942.91015625,38967.01171875,38468.71875,38678.0390625
2025-02-21,38523.0703125,38808.80859375,38456.53125,38776.94140625
2025-02-25,38359.671875,38485.94921875,38131.7890625,38237.7890625
2025-02-26,38143.6796875,38175.23828125,37742.76171875,38142.37109375
2025-02-27,38251.109375,38369.9609375,38061.94140625,38256.171875
2025-02-28,37853.48046875,37925.28125,36840.12109375,37155.5
2025-03-03,37617.5,37827.62109375,37372.26171875,37785.46875
2025-03-04,37532.01171875,37587.48828125,36816.16015625,37331.1796875
2025-03-05,37345.73828125,37606.33984375,37178.71875,37418.23828125
2025-03-06,37654.94921875,37874.37890625,37580.87890625,37704.9296875
2025-03-07,37198.30078125,37221.6484375,36813.62109375,36887.171875
2025-03-10,36972.58984375,37113.48046875,36705.01953125,37028.26953125
2025-03-11,36584.37109375,36793.109375,35987.12890625,36793.109375
2025-03-12,36763.1015625,36956.328125,36658.859375,36819.08984375
2025-03-13,37081.640625,37326.26953125,36776.94140625,36790.03125
2025-03-14,36606.78125,37154.390625,36594.0390625,37053.1015625
2025-03-17,37453.828125,37563.26953125,37377.55078125,37396.51953125
2025-03-18,37868.5703125,38004.19921875,37822.87109375,37845.421875
2025-03-19,37839.390625,38128.578125,37751.87890625,37751.87890625
2025-03-21,37619.37109375,37968.01953125,37619.37109375,37677.05859375
2025-03-24,37841.6796875,37841.6796875,37608.48828125,37608.48828125
2025-03-25,37953.1484375,38115.6484375,37686.26171875,37780.5390625
2025-03-26,38106.66015625,38220.69140625,37873.28125,38027.2890625
2025-03-27,37750.66015625,37859.05859375,37556.75,37799.96875
2025-03-28,37357.51953125,37359.94921875,36864.9296875,37120.328125
2025-03-31,36440.1796875,36440.1796875,35541.71875,35617.55859375
2025-04-01,35961.19140625,36052.5390625,35537.859375,35624.48046875
2025-04-02,35751.01953125,35778.8984375,35426.328125,35725.87109375
2025-04-03,35041.671875,35044.73046875,34102.0,34735.9296875
2025-04-04,34304.66015625,34320.109375,33259.76171875,33780.578125
2025-04-07,33154.96875,33158.87109375,30792.740234375,31136.580078125
2025-04-08,31729.109375,33257.16015625,31703.689453125,33012.578125
2025-04-09,32529.23046875,32565.83984375,31258.1796875,31714.029296875
2025-04-10,32321.2109375,34639.390625,32320.66015625,34609.0
2025-04-11,33951.25,33953.2890625,32626.580078125,33585.578125
2025-04-14,34006.37109375,34325.58984375,33887.69921875,33982.359375
2025-04-15,34349.01171875,34459.0,34266.30859375,34267.5390625
2025-04-16,34249.8203125,34329.26953125,33658.46875,33920.3984375
2025-04-17,33987.01171875,34379.12890625,33931.53125,34377.6015625
2025-04-18,34353.87890625,34758.96875,34224.5703125,34730.28125
2025-04-21,34556.23046875,34610.6015625,34216.98046875,34279.921875
2025-04-22,34111.140625,34340.5703125,34109.8515625,34220.6015625
2025-04-23,34787.9296875,35142.12109375,34682.28125,34868.62890625
2025-04-24,35194.7109375,35287.94921875,34960.6484375,35039.1484375
2025-04-25,35387.671875,35835.28125,35337.98046875,35705.73828125
2025-04-28,35962.80078125,36075.26171875,35773.48828125,35839.98828125
2025-04-30,35946.87890625,36056.51953125,35793.328125,36045.37890625
2025-05-01,36197.0390625,36544.1484375,36040.05078125,36452.30078125
2025-05-02,36636.55078125,36976.51171875,36606.578125,36830.69140625
2025-05-07,36903.66015625,36942.37890625,36731.390625,36779.66015625
2025-05-08,36863.37890625,36977.3515625,36606.7109375,36928.62890625
2025-05-09,37332.5703125,37557.41015625,37219.03125,37503.328125
2025-05-12,37697.28125,37726.44140625,37417.390625,37644.26171875
2025-05-13,38149.53125,38494.05859375,38124.19921875,38183.26171875
2025-05-14,38199.03125,38325.87890625,37851.80078125,38128.12890625
2025-05-15,37832.359375,37876.83984375,37633.359375,37755.51171875
2025-05-16,37748.578125,37786.4296875,37479.2109375,37753.71875
2025-05-19,37572.359375,37656.23046875,37445.9296875,37498.62890625
2025-05-20,37723.6015625,37921.80859375,37455.69921875,37529.48828125
2025-05-21,37590.1484375,37659.94140625,37298.98046875,37298.98046875
2025-05-22,36931.890625,37100.44921875,36855.828125,36985.87109375
2025-05-23,37161.73828125,37373.91015625,37111.62890625,37160.46875
2025-05-26,37209.26171875,37531.53125,37167.01171875,37531.53125
2025-05-27,37523.37109375,37769.05078125,37411.6796875,37724.109375
2025-05-28,38094.7890625,38178.73046875,37709.7109375,37722.3984375
2025-05-29,38046.96875,38454.0703125,38035.3203125,38432.98046875
2025-05-30,37912.48828125,38114.46875,37748.171875,37965.1015625
2025-06-02,37651.1796875,37651.1796875,37320.71875,37470.671875
2025-06-03,37598.30859375,37729.44921875,37446.80859375,37446.80859375
2025-06-04,37686.66015625,37868.421875,37672.46875,37747.44921875
2025-06-05,37590.390625,37732.87890625,37527.87890625,37554.48828125
2025-06-06,37590.44140625,37756.1484375,37590.421875,37741.609375
2025-06-09,38028.7109375,38178.01171875,38018.21875,38088.5703125
2025-06-10,38278.171875,38495.69921875,38139.1015625,38211.51171875
2025-06-11,38431.1015625,38529.640625,38288.28125,38421.19140625
2025-06-12,38324.9296875,38407.5703125,38102.05078125,38173.08984375
2025-06-13,38130.25,38141.58984375,37540.19921875,37834.25
2025-06-16,38056.859375,38342.51953125,38055.51953125,38311.328125
2025-06-17,38366.6796875,38581.25,38333.3515625,38536.73828125
2025-06-18,38364.16015625,38885.1484375,38364.16015625,38885.1484375
